Index,Year,Geo_Desc,White (Estimated),Black or African American (Estimated),American Indian and Alaska Native (Estimated),Asian (Estimated),Native Hawaiian and Other Pacific Islander (Estimated),Hispanic (Estimated),US Census Population Estimate,Total Employment (Number of Jobs),Personal Income,Personal Consumption Expenditures,Total Educational Attainment Estimate,Tot_Opioid_Clms,Tot_Clms,Opioid_Prscrbng_Rate,LA_Tot_Opioid_Clms,LA_Opioid_Prscrbng_Rate,total_opioid_prescriptions,tot_presc_opioid_od,,,,,,,,
437,2013,Maine,"1,284,851","24,945","19,288","20,240","1,117","19,141",1328543,803582,53742,50315.4,114005,211940,3081312,6.88,21025,9.92,"1,160,248",185.99602,,,,,,,,
438,2013,Maryland,"3,707,688","1,882,852","74,182","415,295","12,687","528,082",5925197,3494007,311524,235458.2,565656,762388,10413094,7.32,72846,9.56,"4,106,395",830,,,,,,,,
439,2013,Massachusetts,"5,701,252","628,032","67,659","458,136","13,779","710,107",6715158,4353531,382611.1,302529.2,695074,761512,12715214,5.99,74258,9.75,"4,302,489",940,,,,,,,,
440,2013,Michigan,"8,130,970","1,524,722","151,030","332,046","10,837","467,590",9914802,5323127,393576.8,341805.2,1006588,1637722,18823723,8.7,99426,6.07,"9,723,696","1,388",,,,,,,,
441,2013,Minnesota,"4,773,086","370,843","115,201","280,011","7,516","270,332",5414722,3555540,259781.8,211496.6,508453,698535,10110092,6.91,54606,7.82,"3,148,140",758,,,,,,,,
442,2013,Mississippi,"1,816,498","1,138,846","29,395","37,060","3,423","86,243",2989839,1532509,102317.4,83682.6,323013,397168,5285453,7.51,13303,3.35,"3,378,940",419,,,,,,,,
443,2013,Missouri,"5,169,066","771,435","80,022","138,909","13,528","230,046",6042989,3565833,245200,210048.6,597813,783788,11407862,6.87,66028,8.42,"5,595,521",846,,,,,,,,
444,2013,Montana,"931,305","10,032","84,049","12,889","2,028","33,864",1014158,642072,41322.5,36371.4,101900,87773,1041207,8.43,10713,12.21,"966,218",142,,,,,,,,
445,2013,Nebraska,"1,705,734","108,342","38,250","48,070","3,761","185,743",1865813,1266360,87398.7,65983,189556,147751,2302434,6.42,13755,9.31,"1,393,406",261,,,,,,,,
446,2013,Nevada,"2,223,789","288,491","72,829","274,075","38,092","762,687",2776956,1561287,109870.5,94099.5,255605,279872,2988442,9.37,30238,10.8,"2,557,389",388.77384,,,,,,,,
447,2013,New Hampshire,"1,268,603","26,188","11,469","40,792","1,318","41,823",1327272,835032,67703.7,57580.1,127716,96078,1444215,6.65,12906,13.43,"1,059,901",186,,,,,,,,
448,2013,New Jersey,"6,663,931","1,407,347","96,259","864,821","17,417","1,669,079",8857821,5133106,492488.2,380191.6,790737,563939,11905806,4.74,54453,9.66,"5,145,062","1,240",,,,,,,,
449,2013,New Mexico,"1,780,160","65,844","245,614","47,909","6,100","994,664",2092833,1075551,73561.8,63666.5,215357,283376,3684909,7.69,20895,7.37,"1,467,348",293,,,,,,,,
450,2013,New York,"14,285,842","3,719,448","313,539","1,751,425","49,024","3,601,735",19626488,11619011,1062135.4,793263.1,1992555,2051306,56986922,3.6,178727,8.71,"9,908,583","2,748",,,,,,,,
