White Population (Estimated) Rate,Black or African American Population (Estimated) Rate,American Indian and Alaska Native Population (Estimated) Rate,Asian Population (Estimated) Rate,Native Hawaiian and Other Pacific Islander Population (Estimated) Rate,Hispanic Population (Estimated) Rate,US Census Population Estimate Rate,Total Employment (Number of Jobs) Rate,Personal Income Rate,Personal Consumption Expenditures Rate,Total Educational Attainment Estimate Rate,Total Opioid Claims Rate,Total Claims Rate,Opioid Prescribing Rate,Long Acting Total Opioid Claims Rate,Long Acting Opioid Prescribing Rate,Total Opioid Prescriptions Rate,Any Opioid Overdose Rate,Prescription Opioid Overdose Rate, Synthetic Opioids other than Methadone (primarily fentanyl) Overdose Rate,2013,2014,2015,2016,2017,2018,2019,2020,2021,United States,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
0.600842627,0.387488956,0.011065282,0.015184504,0.001763298,0.034623164,0.008883451,0.5511604,0.045886914,0.036449251,0.667268898,0.054461541,1.794885113,0.0303,0.002092158,0.0384,0.628630255,0.247,0.05,0.218,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.849372664,0.131680115,0.014807718,0.029057236,0.003069294,0.046827599,0.018582038,0.615314896,0.055310177,0.044977903,0.685049474,0.049234476,1.844175271,0.0267,0.002985499,0.0606,0.526008607,0.247,0.05,0.218,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.916335436,0.012395286,0.083513601,0.016929618,0.002522086,0.043459435,0.003331692,0.647404195,0.056847916,0.047802124,0.693128987,0.280379163,2.693891941,0.1041,0.18489424,0.6594,0.472865877,0.247,0.05,0.218,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.899404345,0.066146386,0.023717708,0.034689649,0.002504642,0.120434681,0.005913757,0.679601376,0.061209674,0.046193484,0.658263536,0.049741948,1.68622457,0.0295,0.004491346,0.0903,0.437660487,0.247,0.05,0.218,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.770435246,0.124848319,0.028509707,0.115286921,0.016396188,0.298708175,0.009476214,0.607955373,0.060166565,0.044796247,0.696931289,0.085002171,2.025328613,0.042,0.006504255,0.0765,0.46301744,0.247,0.05,0.218,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.945456773,0.026589454,0.009357804,0.036980047,0.001362157,0.04409858,0.004178835,0.644854613,0.073278655,0.056788192,0.726713057,0.030129621,1.50201693,0.0201,0.002978007,0.0988,0.357334208,0.247,0.05,0.218,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.731203228,0.167381585,0.01222394,0.112688217,0.002460843,0.215387937,0.027912892,0.602636761,0.077009452,0.054694749,0.698581597,0.048015524,2.051410877,0.0234,0.00349052,0.0727,0.298869406,0.247,0.05,0.218,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.838374962,0.03622565,0.125228365,0.026810893,0.003528172,0.499735671,0.006374927,0.516204882,0.05029166,0.040012435,0.685295395,0.074823887,2.253065536,0.0332,0.002153848,0.0288,0.389831325,0.247,0.05,0.218,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.710404869,0.195787414,0.017014535,0.104119745,0.002801512,0.196127386,0.059806039,0.615781389,0.076753323,0.053197362,0.704373644,0.049688551,3.381902407,0.0147,0.003409242,0.0686,0.278281064,0.247,0.05,0.218,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.723380862,0.23737879,0.023423499,0.041029218,0.002642372,0.102256082,0.03182193,0.598019475,0.056095159,0.043897402,0.685757227,0.047965315,1.483657072,0.0323,0.004719056,0.0984,0.525291729,0.247,0.05,0.218,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
